id,item_no,restaurant_id,name,description,is_vegan,is_halal,calories,price
1,1,1,Margherita Pizza,Classic Italian pizza with fresh tomatoes,0,0,500,100
2,2,2,Spaghetti Carbonara,Creamy pasta with eggs,0,0,320,200
3,1,3,Sushi Platter,Assorted sushi rolls with fresh seafood and vegetables,0,0,300,150
4,2,4,Tempura Udon,Thick wheat noodles in broth with crispy shrimp tempura,0,0,450,320
5,1,5,Kung Pao Chicken,Spicy stir-fried chicken with peanuts,0,0,120,99
6,2,6,Spring Rolls,Crispy rolls filled with vegetables and served with dipping sauce,1,0,200,80
7,1,7,Tacos al Pastor,Traditional Mexican pork tacos with pineapple and cilantro,0,0,350,70
8,2,8,Guacamole & Chips,Creamy avocado dip with crispy tortilla chips,1,0,250,120
9,1,9,Cheeseburger,Classic American burger with cheddar cheese,0,0,120,40
10,2,10,Caesar Salad,Romaine lettuce,1,1,40,5